;id;Target;total_score;age_score;sex_score
0;339;0;0.3;0.65;0.85
1;2883;1;0.45;0.85;0.8
2;3767;1;0.0;0.15;0.5
3;911;0;0.0;0.0;0.45
4;4393;0;0.15;0.2;0.85
5;4551;0;0.8;0.5;0.3
6;3606;0;0.15;0.0;0.25
7;2938;1;0.6;0.95;0.9
8;711;0;0.15;0.75;0.55
9;3212;0;0.3;0.05;0.2
10;4895;0;0.2;0.95;0.55
11;1999;0;0.6;0.3;0.1
12;2496;0;0.4;0.1;0.4
13;4120;0;0.3;0.9;0.15
14;3121;0;0.0;0.65;0.15
15;401;0;0.4;0.85;0.8
16;2641;0;0.0;0.35;0.2
17;3927;0;0.4;0.9;0.1
18;1866;0;0.0;0.7;0.25
19;2953;0;0.3;0.9;0.8
20;348;0;0.3;0.35;0.5
21;704;0;0.5;0.9;0.35
22;4999;0;0.15;0.05;0.4
23;4324;0;0.0;0.0;0.0
24;4349;1;0.0;0.25;0.05
25;2002;0;0.0;0.0;0.9
26;1709;0;0.5;0.35;0.0
27;1264;0;0.0;0.15;0.05
28;3840;0;0.0;0.55;0.5
29;1230;0;0.55;0.8;0.95
30;427;1;0.7;0.85;0.6
31;4133;0;0.3;0.2;0.0
32;2584;0;0.4;0.15;0.05
33;4680;1;0.45;0.4;0.05
34;116;0;0.3;0.25;0.7
35;1394;0;0.7;0.0;0.05
36;3301;0;0.15;0.6;0.75
37;563;0;0.0;0.2;0.65
38;2456;0;0.45;0.45;0.25
39;553;1;0.3;0.05;0.7
40;2982;1;0.95;0.5;0.85
41;3843;0;0.7;0.7;0.1
42;4588;0;0.0;0.45;0.25
43;4117;0;0.8;0.5;0.85
44;2490;1;0.3;0.05;0.0
45;1666;0;0.0;0.05;0.1
46;3480;0;0.15;0.2;0.0
47;2568;0;0.0;0.65;0.2
48;3856;0;0.9;0.85;0.35
49;2911;0;0.9;0.85;0.5
50;4268;0;0.0;0.1;0.5
51;2123;0;0.55;0.6;0.65
52;3816;0;0.55;0.9;0.55
53;3577;0;0.15;0.2;0.4
54;1939;1;0.0;0.4;0.95
55;2485;0;0.9;0.95;0.15
56;1743;0;0.5;0.7;0.25
57;1755;0;0.95;0.8;0.5
58;633;1;0.3;0.15;0.6
59;3352;0;0.0;0.05;0.1
60;4871;0;0.4;0.45;0.95
61;465;0;0.3;0.9;0.55
62;1908;0;0.0;0.2;0.15
63;1;0;0.4;0.55;0.55
64;1810;0;0.0;0.15;0.0
65;2315;0;0.5;0.95;0.35
66;878;0;0.3;0.2;0.1
67;421;0;0.5;0.4;0.7
68;568;1;0.45;0.95;0.1
69;4238;0;0.45;0.5;0.2
70;3867;0;0.95;0.85;0.75
71;3802;0;0.7;0.35;0.4
72;3826;0;0.95;0.4;0.7
73;1247;1;0.55;0.85;0.75
74;1962;0;0.2;0.4;0.2
75;1506;0;0.55;0.7;0.85
76;1335;0;0.8;0.8;0.75
77;4828;0;0.15;0.1;0.5
78;3693;0;0.85;0.7;0.6
79;386;0;0.0;0.4;0.4
80;4210;0;0.0;0.3;0.2
81;317;0;0.2;0.4;0.6
82;4024;0;0.15;0.35;0.2
83;1478;0;0.0;0.6;0.75
84;247;0;0.45;0.6;0.45
85;2080;0;0.2;0.25;0.15
86;3279;0;0.0;0.75;0.3
87;1605;0;0.15;0.1;0.1
88;521;0;0.0;0.7;0.95
89;920;0;0.0;0.7;0.55
90;3718;0;0.0;0.7;0.9
91;4339;1;0.0;0.0;0.15
92;4344;1;0.3;0.95;0.6
93;1665;0;0.3;0.8;0.8
94;3656;0;0.85;0.4;0.65
95;2250;0;0.5;0.95;0.7
96;1826;0;0.3;0.1;0.2
97;899;0;0.95;0.45;0.8
98;4287;0;0.4;0.75;0.0
99;3250;0;0.9;0.4;0.2
100;916;0;0.0;0.55;0.2
101;3973;0;0.3;0.0;0.55
102;2786;0;0.3;0.0;0.05
103;1275;1;0.5;0.95;0.9
104;4923;0;0.6;0.55;0.95
105;3409;0;0.7;0.9;0.5
106;2366;0;0.9;0.6;0.35
107;4387;0;0.4;0.35;0.15
108;3570;1;0.7;0.75;0.8
109;4796;0;0.9;0.65;0.2
110;3244;0;0.4;0.4;0.85
111;4203;0;0.0;0.15;0.6
112;4994;0;0.55;0.9;0.85
113;1473;0;0.7;0.05;0.75
114;3809;0;0.0;0.75;0.85
115;432;1;0.7;0.7;0.25
116;1561;0;0.0;0.0;0.2
117;2557;0;0.0;0.0;0.1
118;1459;0;0.8;0.35;0.35
119;66;0;0.95;0.9;0.75
120;1738;0;0.55;0.05;0.7
121;2939;0;0.6;0.05;0.55
122;138;0;0.55;0.1;0.9
123;4480;0;0.7;0.95;0.2
124;1547;0;0.5;0.55;0.0
125;3014;0;0.45;0.25;0.4
126;1491;0;0.45;0.25;0.0
127;4835;0;0.55;0.55;0.15
128;1290;0;0.0;0.25;0.45
129;1122;0;0.45;0.6;0.9
130;2336;0;0.55;0.05;0.75
131;2741;0;0.85;0.9;0.9
132;1980;0;0.4;0.4;0.1
133;4482;1;0.4;0.4;0.2
134;1534;0;0.4;0.55;0.05
135;3926;0;0.0;0.0;0.25
136;1991;0;0.0;0.25;0.7
137;2897;0;0.95;0.95;0.7
138;374;0;0.0;0.15;0.85
139;7;1;0.85;0.95;0.15
140;3999;0;0.8;0.95;0.85
141;3252;0;0.5;0.7;0.95
142;223;0;0.4;0.75;0.6
143;4029;0;0.0;0.6;0.2
144;4476;1;0.6;0.45;0.8
145;2853;0;0.7;0.25;0.7
146;2070;0;0.95;0.65;0.3
147;2443;1;0.9;0.9;0.95
148;3142;0;0.0;0.45;0.15
149;2571;0;0.5;0.4;0.55
150;2563;0;0.15;0.4;0.95
151;808;0;0.3;0.25;0.05
152;4314;0;0.7;0.55;0.9
153;289;0;0.5;0.3;0.75
154;2990;0;0.0;0.25;0.2
155;3138;0;0.3;0.6;0.4
156;172;0;0.0;0.4;0.75
157;4041;0;0.0;0.0;0.0
158;4049;0;0.4;0.15;0.0
159;737;0;0.3;0.55;0.6
160;4253;0;0.45;0.45;0.0
161;1577;0;0.0;0.2;0.55
162;377;0;0.0;0.05;0.55
163;4132;0;0.4;0.6;0.05
164;2642;0;0.6;0.9;0.45
165;2229;0;0.3;0.1;0.25
166;3282;0;0.15;0.05;0.05
167;820;0;0.4;0.55;0.7
168;178;0;0.0;0.4;0.7
169;40;0;0.55;0.55;0.05
170;1838;0;0.3;0.15;0.8
171;1620;0;0.2;0.2;0.8
172;1126;1;0.15;0.05;0.25
173;280;0;0.3;0.0;0.4
174;1841;0;0.15;0.45;0.8
175;3983;0;0.0;0.85;0.15
176;3586;1;0.0;0.3;0.05
177;4113;1;0.55;0.7;0.9
178;925;0;0.4;0.05;0.5
179;4321;0;0.7;0.85;0.6
180;4613;0;0.0;0.35;0.2
181;2841;0;0.3;0.0;0.3
182;746;0;0.0;0.55;0.35
183;1408;0;0.0;0.05;0.45
184;30;0;0.7;0.15;0.5
185;4493;0;0.55;0.35;0.8
186;2833;0;0.3;0.65;0.2
187;1904;1;0.55;0.8;0.05
188;800;0;0.3;0.1;0.2
189;6;0;0.85;0.05;0.65
190;2646;0;0.0;0.05;0.75
191;3351;0;0.0;0.4;0.75
192;4028;0;0.0;0.4;0.5
193;2268;0;0.6;0.9;0.9
194;1443;0;0.3;0.2;0.4
195;1441;0;0.3;0.05;0.15
196;1198;0;0.45;0.55;0.25
197;2998;0;0.7;0.6;0.9
198;390;0;0.9;0.7;0.05
199;2282;0;0.0;0.3;0.35
200;1818;0;0.6;0.0;0.5
201;2940;0;0.8;0.9;0.2
202;2255;0;0.9;0.95;0.8
203;914;1;0.8;0.05;0.15
204;4878;0;0.0;0.0;0.25
205;230;0;0.0;0.75;0.45
206;197;0;0.3;0.55;0.9
207;2886;0;0.85;0.65;0.4
208;2607;0;0.7;0.0;0.55
209;3074;0;0.45;0.1;0.2
210;3749;0;0.5;0.7;0.1
211;1635;0;0.15;0.05;0.05
212;4812;0;0.3;0.7;0.55
213;4462;0;0.0;0.35;0.35
214;1044;0;0.3;0.25;0.55
215;188;1;0.3;0.75;0.35
216;2214;0;0.85;0.95;0.75
217;3458;0;0.3;0.3;0.55
218;3992;0;0.7;0.1;0.25
219;2320;0;0.0;0.45;0.8
220;1326;0;0.8;0.95;0.65
221;3333;1;0.7;0.0;0.85
222;1334;0;0.2;0.2;0.0
223;136;0;0.2;0.5;0.7
224;4362;0;0.4;0.55;0.5
225;1928;0;0.3;0.15;0.45
226;2978;0;0.5;0.8;0.95
227;4653;0;0.7;0.2;0.95
228;3860;0;0.15;0.0;0.1
229;958;1;0.3;0.65;0.9
230;236;0;0.0;0.65;0.95
231;4030;0;0.4;0.05;0.7
232;1651;0;0.55;0.0;0.5
233;2178;0;0.55;0.05;0.05
234;2379;0;0.3;0.75;0.95
235;3329;1;0.8;0.65;0.45
236;1001;0;0.45;0.6;0.75
237;1769;0;0.3;0.05;0.0
238;2014;0;0.9;0.4;0.35
239;2071;0;0.55;0.35;0.15
240;1785;0;0.0;0.2;0.55
241;4716;0;0.9;0.5;0.85
242;2524;0;0.7;0.2;0.7
243;1982;0;0.0;0.4;0.3
244;3357;0;0.5;0.9;0.65
245;3534;0;0.15;0.0;0.45
246;891;0;0.0;0.05;0.25
247;931;0;0.55;0.9;0.75
248;2487;0;0.3;0.75;0.6
249;1746;1;0.3;0.4;0.15
250;4523;0;0.7;0.1;0.75
251;2542;0;0.3;0.4;0.2
252;849;0;0.9;0.45;0.7
253;2160;1;0.4;0.85;0.85
254;1483;0;0.0;0.75;0.7
255;261;0;0.7;0.05;0.2
256;1598;0;0.3;0.05;0.6
257;4670;0;0.8;0.2;0.5
258;27;0;0.0;0.55;0.35
259;405;0;0.0;0.05;0.65
260;4832;0;0.55;0.75;0.9
261;2668;0;0.0;0.9;0.45
262;3682;0;0.45;0.15;0.05
263;301;0;0.15;0.2;0.9
264;1549;0;0.0;0.1;0.6
265;2606;0;0.3;0.4;0.05
266;3370;0;0.0;0.3;0.85
267;217;0;0.15;0.35;0.05
268;3464;0;0.9;0.35;0.9
269;1061;0;0.0;0.1;0.85
270;3178;0;0.0;0.1;0.3
271;1646;0;0.6;0.9;0.6
272;2298;0;0.3;0.1;0.55
273;3081;0;0.7;0.45;0.1
274;429;1;0.2;0.95;0.95
275;2440;0;0.2;0.05;0.0
276;1936;0;0.6;0.1;0.65
277;4877;0;0.9;0.85;0.85
278;1697;0;0.4;0.7;0.45
279;4841;0;0.3;0.9;0.55
280;2629;0;0.0;0.7;0.55
281;4611;0;0.7;0.0;0.0
282;0;0;0.3;0.55;0.5
283;4879;0;0.0;0.45;0.35
284;1509;0;0.7;0.25;0.5
285;2665;0;0.0;0.05;0.05
286;2541;0;0.85;0.3;0.95
287;3395;0;0.0;0.2;0.95
288;2907;0;0.3;0.85;0.8
289;1067;0;0.7;0.45;0.8
290;1039;0;0.4;0.7;0.9
291;454;0;0.0;0.6;0.9
292;1030;0;0.0;0.1;0.0
293;278;0;0.2;0.45;0.8
294;1879;0;0.85;0.45;0.05
295;4936;0;0.5;0.4;0.9
296;1185;1;0.0;0.55;0.1
297;4491;0;0.8;0.45;0.6
298;1489;0;0.15;0.15;0.65
299;1628;0;0.2;0.4;0.55
300;81;0;0.0;0.0;0.0
301;2365;0;0.7;0.75;0.2
302;831;0;0.4;0.4;0.4
303;3325;0;0.5;0.7;0.1
304;3453;0;0.0;0.25;0.5
305;3191;0;0.3;0.1;0.9
306;936;0;0.7;0.1;0.7
307;3771;0;0.8;0.15;0.8
308;2404;0;0.5;0.3;0.2
309;3201;0;0.55;0.3;0.1
310;4366;0;0.7;0.2;0.3
311;4130;0;0.0;0.4;0.0
312;2153;0;0.5;0.05;0.15
313;4752;0;0.55;0.8;0.4
314;3915;0;0.0;0.5;0.45
315;204;0;0.3;0.1;0.45
316;4442;0;0.2;0.45;0.95
317;2752;0;0.6;0.3;0.8
318;2971;0;0.9;0.2;0.9
319;784;0;0.8;0.2;0.35
320;1774;1;0.0;0.55;0.15
321;2051;0;0.9;0.9;0.85
322;2185;0;0.5;0.3;0.0
323;575;0;0.3;0.05;0.2
324;3233;0;0.3;0.6;0.65
325;1157;0;0.6;0.45;0.15
326;747;1;0.15;0.0;0.2
327;1188;0;0.55;0.6;0.5
328;1241;0;0.3;0.2;0.5
329;360;0;0.0;0.2;0.3
330;970;0;0.0;0.55;0.4
331;3623;0;0.0;0.7;0.0
332;2856;0;0.55;0.25;0.8
333;3905;0;0.15;0.3;0.95
334;839;0;0.6;0.45;0.55
335;125;0;0.15;0.05;0.65
336;2322;0;0.6;0.75;0.3
337;2367;0;0.2;0.05;0.15
338;410;0;0.3;0.6;0.15
339;1424;0;0.15;0.65;0.85
340;983;1;0.85;0.45;0.95
341;4596;1;0.45;0.9;0.95
342;1481;0;0.0;0.95;0.1
343;1328;0;0.2;0.25;0.0
344;4217;0;0.6;0.25;0.05
345;3622;0;0.95;0.9;0.05
346;3991;0;0.7;0.05;0.0
347;3706;0;0.0;0.85;0.1
348;3593;0;0.15;0.1;0.0
349;4833;0;0.4;0.15;0.5
350;103;0;0.3;0.15;0.55
351;3372;0;0.45;0.15;0.6
352;2373;0;0.4;0.85;0.6
353;4301;0;0.0;0.0;0.2
354;2477;1;0.8;0.7;0.6
355;2595;0;0.7;0.9;0.55
356;875;0;0.45;0.75;0.25
357;2622;0;0.55;0.2;0.2
358;171;0;0.7;0.3;0.8
359;221;0;0.0;0.2;0.15
360;3367;0;0.3;0.0;0.9
361;1874;1;0.7;0.85;0.9
362;458;0;0.7;0.95;0.85
363;632;1;0.0;0.95;0.05
364;38;0;0.55;0.35;0.05
365;11;0;0.0;0.1;0.9
366;2498;0;0.0;0.05;0.55
367;625;0;0.0;0.15;0.6
368;1777;0;0.4;0.6;0.95
369;3676;0;0.0;0.0;0.25
370;4657;0;0.0;0.2;0.75
371;493;1;0.95;0.25;0.25
372;153;1;0.9;0.95;0.0
373;4848;0;0.0;0.4;0.2
374;2228;0;0.2;0.35;0.75
375;604;0;0.95;0.6;0.05
376;1570;0;0.7;0.35;0.2
377;3728;0;0.7;0.25;0.0
378;2121;0;0.0;0.15;0.0
379;3048;0;0.3;0.1;0.15
380;2416;0;0.0;0.55;0.65
381;930;0;0.45;0.5;0.55
382;328;0;0.9;0.85;0.8
383;1294;0;0.5;0.35;0.2
384;451;0;0.95;0.6;0.05
385;907;0;0.7;0.7;0.45
